00:00:03 00:00:05  thank you san good
00:00:08 00:00:17  thanks richard got your chat there all right so i'm going to scare stand and go off script here for two seconds and i want to show the
00:00:17 00:00:19  a milestone report
00:00:20 00:00:24  in addition to the power point that you guys we've already provided
00:00:31 00:00:34  this is part of my stall while you come on line
00:00:34 00:01:09  so this is the monthly milestone report that a w b a e provides to the government every month and it basely goes from the last or the day after the last a monthly deliver a to per here it was for ten august we are here on the twelfth as we to move th them back a couple of days but i just want you all to be aware there's a lot of stuff that the team is doing t pioneer team is doing each week with the various meetings that they go through a lot of them repetitive but am
00:01:10 00:01:21  between the nick meetings a g c m l s meetings what else we got the architecture working group the scenario working group the v v and a working group that you see going on each
00:01:22 00:01:24  each week and
00:01:25 00:01:37  then we go out to the team and we consolidate our shands and we consolidate everybody's period accomplishments but we go out for example to alex and ask them for the period accomplishments and c a you see here
00:01:37 00:01:41  norse i see jumping out here and got stillman and
00:01:41 00:01:48  and everybody then delivers that we have to deliver during this period
00:01:48 00:01:52  and we just delivered for example the s c t m and the s s p
00:01:53 00:02:01  as part of this deliver be and now as we are talking throughout this meeting we will be up dating the meeting notes
00:02:02 00:02:13  in to thing down the range to oby and sam and tyson and chuck and the government and they all get to take a look at it and they're good with it a to get the smith t invoice the how the smith they're invoices
00:02:14 00:02:20  oh that i just wanted to show you so people have a situation awareness that that is going on
00:02:20 00:02:35  not so o k i was going to say in the waiting room i but i think we just got him so i'm good forget good i'm now im going to pull up and start the
00:02:53 00:02:54  m
00:02:55 00:03:21  i do want some feed back bring you talking about feed back yesterday or from anybody we're working on this a logo am and i see it we all haven't a boat at this one too or headed down the right path or not lots of people put an input on this and where it's gotten to day it's still in draught if anybody has the do be happy to hear em for a here
00:03:21 00:03:43  what we're going to talk about to day the agenda e to listen to me for a couple of minutes and then we're going to drop it over to marcus and talk about some f t c and p specks am ethan's going to hit vinet one and marcus vinet two and three as going to give us the up on massive of what's going on there im jove from four seas going to hit up the use in face for ex
00:03:45 00:03:48  cut from c is going to help us with the train demo
00:03:49 00:04:10  a richard brake brake his gon do train up date for a b b s fort and bohemia and richard your brake you can tell us when you get there i know you sent an mal right before this m with murphy's law out there he ran into a lich but you you look like you were adapting adjusting a figurin out something
00:04:10 00:04:16  a speech to text is really coarse but from a alex is going to show us what they've done with speech
00:04:17 00:04:29  i'm analytic taylor actually chris role filling i think for stu chris said give us an up date there and then back to marcus for m and s demo and then you'll have to listen to me rap things
00:04:30 00:04:33  any questions on what were going to be doing to day here
00:04:36 00:04:43  i'm moving on and and o marcus if you want to take over the screen you obviously can do you want me to stop sharing
00:04:45 00:05:12  ah jean i think i can override you give me a second as ole as ole says this is my eh this is what i'm good at is just bullying my way into things ah ok please let me know if you can see a very unreadable exhale spread sheet we can o k going to leave it unreadable for a second because i'm a talk about the potential meta strategy and i say you know potential because this is a dialogue between us
00:05:13 00:05:17  and this is a tool to be able to have that dialogue
00:05:17 00:06:18  and so what we've done is we've taken what you gave us cause we know to be honest with you chuck you and your team have done exactly you know what we ask okay provide us some more detail get it to us early even if it's not perfect we know you guys are still working on this but it did allow us to to get a deep dive and get an understanding of where you're going and the way we propose that we give you feed back on that is that we look at your p specks and your f t c and we come in and say o k we'll try to color them to say look green means that we're going to do it in september right we think we're on path to be able to make that happen now these will change as things may develop but this is our plan blue means yes we think we'll do that p speck but we're not going to do it until the actual d t event is when we think we'll get there now you know obviously the goal is to achieve as many f t c as we can for each
